name,party
Bill Nelson,Democrat
Marco Rubio,Republican
Matt Gaetz,Republican
Neal Dunn,Republican
Ted Yoho,Republican
John Rutherford,Republican
Al Lawson,Democrat
Ron DeSantis,Republican
Stephanie Murphy,Democrat
Bill Posey,Republican
Darren Soto,Democrat
Val Demings,Democrat
Daniel Webster,Republican
Gus Bilirakis,Republican
Charlie Crist,Democrat
Kathy Castor,Democrat
Dennis Ross,Republican
Vern Buchanan,Republican
Thomas Rooney,Republican
Brian Mast,Republican
Francis Rooney,Republican
Alcee Hastings,Democrat
Lois Frankel,Democrat
Theodore Deutch,Democrat
Debbie Wasserman Schultz,Democrat
Frederica Wilson,Democrat
Mario Diaz-Balart,Republican
Carlos Curbelo,Republican
Ileana Ros-Lehtinen,Republican
